condition,Term,ES,NES,pval,fdr,Tag %,Gene %,leading_edge
Rest,G2-M Checkpoint,-0.6556240183281465,-1.0,1.0,0.5550733137829913,109/173,13.20%,STAG1;KNL1;CDC7;DDX39A;KIF23;KIF4A;AURKB;TTK;BIRC5;TMPO;MKI67;CKS1B;KIF11;MAP3K20;STMN1;LMNB1;TACC3;SMC2;NDC80;KIF2C;KIF20B;CCNA2;SMC4;ORC6;NSD2;TPX2;CCNF;RACGAP1;BUB1;DBF4;NEK2;TFDP1;CENPA;STIL;CCNB2;FANCC;INCENP;GSPT1;CHAF1A;PLK1;UBE2C;TROAP;KPNA2;AURKA;DTYMK;UBE2S;EXO1;ESPL1;FBXO5;EZH2;CDC45;KMT5A;CENPE;TOP2A;PTTG1;SLC7A1;ODF2;CDK4;CDC20;RBL1;NUSAP1;H2AZ1;RAD54L;MAD2L1;LBR;PBK;SUV39H1;ODC1;POLQ;CDKN2C;ILF3;SMC1A;PLK4;BRCA2;CDKN3;PRC1;HMMR;KIF22;KIF15;POLE;CDK1;CKS2;SRSF2;E2F2;CDC25B;HNRNPD;H2AX;CDC27;BARD1;GINS2;TRA2B;CHEK1;MCM5;MYBL2;MCM3;RAD21;POLA2;CDC25A;MCM2;SLC7A5;KIF5B;CENPF;E2F4;E2F1;NUP98;AMD1;HNRNPU;CDC6;XPO1
Rest,E2F Targets,-0.7419037995325518,-1.0,1.0,0.5550733137829913,133/182,14.29%,STAG1;TRIP13;TUBB;DDX39A;KIF4A;AURKB;E2F8;BIRC5;TMPO;MKI67;CKS1B;DEPDC1;CIT;CDCA3;KIF18B;SPAG5;RPA3;STMN1;LMNB1;TACC3;CSE1L;TBRG4;KIF2C;ASF1B;CDCA8;SMC4;ORC6;SPC24;CDKN2A;SSRP1;SHMT1;RACGAP1;MELK;DLGAP5;CCNB2;HMGB2;PA2G4;GINS1;DONSON;RBBP7;GSPT1;PLK1;KPNA2;AURKA;EXOSC8;RAD51C;UBE2S;POLD1;ESPL1;PCNA;USP1;EZH2;PSMC3IP;CENPE;TUBG1;TOP2A;PTTG1;DSCC1;CDK4;CDC20;NCAPD2;H2AZ1;MAD2L1;LBR;SUV39H1;DCTPP1;DNMT1;CDKN2C;MXD3;ILF3;SMC1A;ZW10;PLK4;BRCA2;DIAPH3;CDKN3;PPM1D;HMMR;CENPM;KIF22;MCM7;MCM4;POLE;RAD1;SNRPB;CDK1;CHEK2;CKS2;SRSF2;TIMELESS;CDC25B;HNRNPD;UBE2T;H2AX;RRM2;MSH2;NME1;BARD1;SPC25;UBR7;TRA2B;HELLS;CHEK1;CCNE1;PAN2;RFC3;MMS22L;MCM5;LIG1;MYBL2;RAD51AP1;NUP205;TK1;MCM3;RAD21;POLA2;CDC25A;ANP32E;MCM2;BUB1B;ATAD2;NUDT21;PAICS;ING3;DUT;XPO1;TCF19;PRDX4;CDKN1A;CTPS1;POP7;NUP107;WEE1
Rest,heme Metabolism,0.3144194744104795,0.9843696274725257,0.56,1.0,46/147,26.11%,CTNS;SEC14L1;VEZF1;RBM5;UCP2;LAMP2;BTG2;ATP6V0A1;MARCHF8;GCLC;OPTN;NEK7;PGLS;EZH1;FN3K;ARL2BP;YPEL5;CIR1;TNRC6B;DCUN1D1;DCAF11;CCDC28A;PPOX;FOXJ2;FBXO9;MPP1;KHNYN;BNIP3L;LRP10;PIGQ;EPB41;BTRC;PC;DCAF10;SLC11A2;BLVRA;NCOA4;CAST;LPIN2;ERMAP;CTSB;SDCBP;BLVRB;TENT5C;FOXO3;RBM38
Rest,Unfolded Protein Response,-0.19625071247311432,-0.9567958317031315,0.75,0.5991397849462365,29/88,16.56%,CKS1B;EIF4A1;PREB;EIF4E;HYOU1;PSAT1;EDC4;LSM4;DDIT4;H2AX;PDIA6;SRPRB;EIF4EBP1;BANF1;KHSRP;YIF1A;FUS;ATF3;SLC7A5;KIF5B;ATF4;EIF4G1;PDIA5;TUBB2A;CALR;LSM1;XPOT;EXOSC9;CEBPG
Rest,Apoptosis,0.3019804094619392,0.9479656645719453,0.64,1.0,55/129,39.29%,CASP8;TIMP1;BMF;IFITM3;LGALS3;XIAP;BTG2;CASP4;IGF2R;GCH1;ISG20;SQSTM1;TXNIP;SAT1;CASP2;BIRC3;DNAJC3;PSEN1;BNIP3L;PDCD4;BCL2L1;GSTM1;ANXA1;PLCB2;PPP3R1;RNASEL;CASP6;PSEN2;CREBBP;DAP3;CD2;TNFRSF12A;MGMT;APP;GADD45B;CTNNB1;PPT1;RHOT2;IFNGR1;TAP1;PRF1;CDKN1B;BID;GSN;NEFH;F2R;RETSAT;CD38;IER3;DDIT3;SOD1;BCL2L2;SMAD7;IRF1;BCL10
Rest,DNA Repair,-0.17513317341346288,-0.9103506568892609,1.0,0.6531017369727047,28/115,12.14%,ADRM1;ALYREF;RPA3;RFC4;ZWINT;SSRP1;IMPDH2;POLD1;PCNA;RAD51;RBX1;COX17;FEN1;PRIM1;DDB2;NME1;RFC5;RFC3;TYMS;NELFCD;SAC3D1;LIG1;AAAS;POLA2;NUDT21;SF3A3;ARL6IP1;PNP
Rest,Xenobiotic Metabolism,0.286664957535813,0.8981045124658579,0.7374749498997996,1.0,29/118,25.73%,PROS1;MARCHF6;ECH1;TKFC;ABCD2;HACL1;CYP1A1;POR;GABARAPL1;NPC1;GCLC;SLC46A3;GCH1;CYFIP2;ACOX1;BPHL;GNMT;NINJ1;CNDP2;CASP6;ACOX3;PC;CSAD;CBR1;TNFRSF1A;LPIN2;ALDH9A1;BLVRB;IDH1
Rest,Inflammatory Response,0.28622320418665687,0.897987530009399,0.7367367367367368,1.0,28/123,23.76%,LY6E;TIMP1;IFITM1;TAPBP;P2RX4;TLR1;ADGRE1;BTG2;C3AR1;BST2;IRAK2;GCH1;CD48;CD55;CD40;PVR;HRH1;PSEN1;ITGA5;C5AR1;SLC11A2;IL15RA;PTAFR;IFNAR1;PLAUR;MXD1;LCP2;EIF2AK2
Rest,Complement,0.26483912883621297,0.8349988278909165,0.8686058174523571,1.0,55/138,38.73%,CD46;TIMP1;PLSCR1;LIPA;CTSD;DYRK2;LGALS3;LAMP2;KIF2A;CTSS;CPQ;CASP4;KCNIP2;PRCP;CD55;GZMA;CTSC;ATOX1;CFH;DOCK10;PSEN1;DOCK9;CASP10;CBLB;GZMK;ERAP2;SPOCK2;PLAUR;CTSB;LCP2;STX4;SRC;PLA2G4A;FN1;AKAP10;IRF7;CTSO;VCPIP1;PDP1;RBSN;XPNPEP1;BRPF3;LCK;FDX1;MAFF;PRKCD;KLKB1;ITGAM;TMPRSS6;PSMB9;PRDM4;JAK2;WAS;USP15;IRF1
Rest,Cholesterol Homeostasis,0.2778768608808948,0.831266646123468,0.796969696969697,1.0,16/63,27.03%,PLSCR1;ECH1;LGALS3;SREBF2;TP53INP1;CPEB2;PNRC1;ALDOC;ACSS2;ANTXR2;ATXN2;TNFRSF12A;PLAUR;CBS;STX5;CTNNB1
