target,condition,gene_name,set,mine_log2fc,authors_log2fc,mine_adj_p,authors_adj_p
PPHLN1,Stim8hr,IL4,Th2,1.0524758704020876,0.9599200477589158,0.5691414872239516,0.6139886362291394
PPHLN1,Stim8hr,IL5,Th2,-1.4618908324634197,-1.850049200121984,0.589051063013499,0.3876431845081924
PPHLN1,Stim8hr,STAT1,Th1,0.34732091524358116,0.3443435859600798,0.0562719045142114,0.0390238184816929
PPHLN1,Stim8hr,STAT4,Th1,-0.2139899333819442,-0.2325292484582901,0.5905302198517236,0.4804511022230607
PPHLN1,Stim8hr,STAT6,Th2,0.007061108974417108,-0.0118412516083097,0.987467588450237,0.9657416237953184
PPHLN1,Stim8hr,IL13,Th2,0.2561097992580601,0.2610060834909106,0.8869302526539976,0.8700184474283442
PPHLN1,Stim8hr,CXCR3,Th1,0.04198524372294352,0.0381906764998251,0.952646767980995,0.9452000623468432
PPHLN1,Stim48hr,TBX21,Th1,0.03565343168806553,0.0441721445292703,0.9765148423944908,0.972535990920964
PPHLN1,Stim48hr,GATA3,Th2,-0.23114250373700568,-0.2121654835508256,0.4360287156903993,0.4349828114178343
PPHLN1,Stim48hr,IFNG,Th1,-0.304996280298405,-0.1905993724919241,0.8468918013309104,0.9237220422232814
PPHLN1,Stim48hr,IL4,Th2,-0.5247775438294341,-0.2807435811645767,0.8341870486646771,0.9334745947632216
PPHLN1,Stim48hr,IL5,Th2,-0.7739368590665211,-1.0118543037704706,0.7391267777713328,0.6355030679318797
PPHLN1,Stim48hr,STAT1,Th1,0.09294472475606885,0.0776112948570125,0.800969630498712,0.8361314204593915
PPHLN1,Stim48hr,STAT4,Th1,0.1199849654423102,0.0811203402006125,0.7973350208857943,0.9027686765997902
PPHLN1,Stim48hr,STAT6,Th2,-0.15300783917272984,-0.1641737278107361,0.6839746403920751,0.6553250687221307
PPHLN1,Stim48hr,IL13,Th2,0.13505707067966577,0.0199482455122854,0.942104439234085,0.9881527104700776
PPHLN1,Stim48hr,CXCR3,Th1,0.12404582446571,0.099649895719697,0.8322150287674036,0.8808877399663928
SUV39H1,Rest,TBX21,Th1,-0.15582448946155378,-0.1597860093534598,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,GATA3,Th2,0.030519945680841813,0.0114680859750305,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,IFNG,Th1,-0.13065479206487754,-0.2985210122282209,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,IL4,Th2,-0.3298459865090062,-0.6898616795542265,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,IL5,Th2,-0.19464361192249716,-1.1207103388644246,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,STAT1,Th1,0.04897509917511272,0.0426971602237818,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,STAT4,Th1,0.2402307962401525,0.2384459944883472,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,STAT6,Th2,0.05238128798786065,0.030914772341621,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,IL13,Th2,-0.41792673734291313,-0.6196068107129665,0.9999882533971574,0.9999450931560454
SUV39H1,Rest,CXCR3,Th1,-0.40091655767140544,-0.4050499160294428,0.9999882533971574,0.9999450931560454
SUV39H1,Stim8hr,TBX21,Th1,-0.029316934247788397,-0.0315676387403805,0.9812408658693499,0.9999783354536366
SUV39H1,Stim8hr,GATA3,Th2,0.0732019054916627,0.0328038837337209,0.940658760531957,0.9999783354536366
SUV39H1,Stim8hr,IFNG,Th1,-0.5986119590682658,-0.5081144825881869,0.8438351564638498,0.9912094640900048
SUV39H1,Stim8hr,IL4,Th2,-0.5063896671224419,-0.5769785150996536,0.9397208549245594,0.9999783354536366
