target,tier,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment,logit_err
PPHLN1,secondary_HUSH,Stim48hr,50kb,non_KZNF,11652,69,24,45,1944,9639,2.6444444444444444,0.00024022430660804533,0.9032600271732278,2.4676345684060697,0.0004605229197934225,11652,,,,,
PPHLN1,secondary_HUSH,Stim48hr,50kb,KZNF_only,452,89,88,1,219,144,57.863013698630134,4.963827322926931e-16,4.225728738954794,68.42434887271749,3.510383894241791e-05,452,,,,,
PPHLN1,secondary_HUSH,Stim48hr,100kb,all,12104,158,127,31,3871,8075,8.545970450246248,9.442899693775994e-35,2.1910826970419883,8.944892482473458,6.253018753028959e-27,12104,127.0,56.1264,0.0001999600079984003,2.262749793323641,
PPHLN1,secondary_HUSH,Stim48hr,100kb,non_KZNF,11652,69,38,31,3611,7972,2.7062113077424717,3.522376563355682e-05,0.9421535948110511,2.565500521851406,0.00012777716513041315,11652,38.0,22.422,0.0001999600079984003,1.6947640710016947,
PPHLN1,secondary_HUSH,Stim48hr,100kb,KZNF_only,452,89,89,0,260,103,inf,4.929809738205454e-12,28.413036781106932,2185873817718.8892,0.9999070898347234,452,89.0,79.7176,0.0001999600079984003,1.116441036860116,
TASOR,secondary_HUSH,Rest,50kb,all,11163,85,42,43,2026,9052,4.36401202966092,9.197947932219719e-11,1.361819663693187,3.903289517693276,1.2112209984745985e-09,11163,,,,,
TASOR,secondary_HUSH,Rest,50kb,non_KZNF,10728,63,22,41,1752,8913,2.729786167724691,0.00029629118424289157,0.8696608205646336,2.386101399731509,0.001414874171075795,10728,,,,,
TASOR,secondary_HUSH,Rest,50kb,KZNF_only,435,22,20,2,274,139,5.072992700729927,0.010157124236594607,1.8977180177708672,6.670654744948694,0.017252248300874122,435,,,,,
TASOR,secondary_HUSH,Rest,100kb,all,11163,85,50,35,3638,7440,2.921542448755203,8.698732575476252e-07,0.9717436822634498,2.6425482088916534,1.6999732265151142e-05,11163,50.0,32.8546,0.0005998800239952009,1.5218569089259952,
TASOR,secondary_HUSH,Rest,100kb,non_KZNF,10728,63,29,34,3327,7338,1.8812390600965363,0.009736101399614935,0.5068360694634373,1.6600306556607354,0.050166067566079144,10728,29.0,22.4306,0.04899020195960808,1.2928766952288393,
TASOR,secondary_HUSH,Rest,100kb,KZNF_only,435,22,21,1,311,102,6.887459807073955,0.018290794796939625,2.100461986046303,8.169943440710554,0.04514559600920908,435,21.0,19.8278,0.29514097180563886,1.0591190147167109,
TASOR,secondary_HUSH,Stim8hr,50kb,all,11767,65,48,17,2160,9542,12.473202614379085,5.489993301989262e-22,2.6284376031413323,13.8521104923199,1.734088368733544e-19,11767,,,,,
TASOR,secondary_HUSH,Stim8hr,50kb,non_KZNF,11315,34,18,16,1884,9397,5.611265923566879,1.5269319087300537e-06,1.7230314840402574,5.601483559753913,9.978615644543721e-07,11315,,,,,
TASOR,secondary_HUSH,Stim8hr,50kb,KZNF_only,452,31,30,1,276,145,15.76086956521739,5.790650399792162e-05,3.215088178844224,24.905487951484165,0.002314702250661961,452,,,,,
TASOR,secondary_HUSH,Stim8hr,100kb,all,11767,65,54,11,3854,7848,9.996508939944333,1.3540464390868252e-16,2.3697726141591833,10.694960125101723,1.6144401462682611e-12,11767,54.0,22.8914,0.0001999600079984003,2.3589645019526984,
TASOR,secondary_HUSH,Stim8hr,100kb,non_KZNF,11315,34,23,11,3537,7744,4.577890867967204,1.5382198710987653e-05,1.4998247704081737,4.480903814593608,5.501679155284893e-05,11315,23.0,11.4758,0.0003999200159968006,2.0042175708883043,
